title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src
Spirited,PG-13,127,6.6,55,"Comedy, Family, Musical",2022,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,Sean Anders,"Will Ferrell, Ryan Reynolds, Octavia Spencer, Patrick Page, ","46,695",,"https://m.media-amazon.com/images/M/MV5BY2RlZGFmYjAtNGZiMi00YjQ5LWE0ZmQtZmIyM2VmMjRhMTJlXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Miracle on 34th Street,PG,114,6.6,,"Drama, Family, Fantasy",1994,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh, ","42,222",$17.19M,"https://m.media-amazon.com/images/M/MV5BZjk3M2UyN2YtNmQ1MS00MWI3LWEzNGMtYTRkM2E5MWNjOWJjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg"
Jingle All the Way,PG,89,5.7,34,"Adventure, Comedy, Family",1996,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one.",Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, ","113,346",$60.57M,"https://m.media-amazon.com/images/M/MV5BMmJlYzViNzctMjQ1Ni00ZWQ4LThkN2YtMzI2ZGU5Nzk0NTAyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
Klaus,PG,96,8.2,65,"Animation, Adventure, Comedy",2019,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,"Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, ","178,753",,"https://m.media-amazon.com/images/M/MV5BMWYwOThjM2ItZGYxNy00NTQwLWFlZWEtM2MzM2Q5MmY3NDU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
A Christmas Carol,PG,96,6.8,55,"Animation, Adventure, Comedy",2009,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine, ","126,638",$137.86M,"https://m.media-amazon.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Last Christmas,PG-13,103,6.5,50,"Comedy, Drama, Fantasy",2019,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true.",Paul Feig,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller, ","87,409",$35.15M,"https://m.media-amazon.com/images/M/MV5BNTQ4ZmY0NjgtYzVhNy00NzhiLTk3YTYtNzM1MTdjM2VhZDA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Christmas with the Kranks,PG,99,5.5,22,"Comedy, Family",2004,"With their daughter, Blair, away in Peru, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute.",Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh, ","55,959",$73.78M,"https://m.media-amazon.com/images/M/MV5BMTQxMDMxODEwNF5BMl5BanBnXkFtZTYwNzM4OTc2._V1_UY209_CR0,0,140,209_AL_.jpg"
The Santa Clause 2,G,104,5.7,48,"Comedy, Family, Fantasy",2002,"Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.",Michael Lembeck,"Tim Allen, Spencer Breslin, Elizabeth Mitchell, Eric Lloyd, ","62,886",$139.24M,"https://m.media-amazon.com/images/M/MV5BNjU0Njk5MTA2Nl5BMl5BanBnXkFtZTYwODkzMzQ3._V1_UY209_CR0,0,140,209_AL_.jpg"
Four Christmases,PG-13,88,5.7,41,"Comedy, Drama, Romance",2008,A couple struggles to visit all four of their divorced parents on Christmas.,Seth Gordon,"Reese Witherspoon, Vince Vaughn, Mary Steenburgen, Robert Duvall, ","78,898",$120.15M,"https://m.media-amazon.com/images/M/MV5BMTQ2MjA0NDAwNF5BMl5BanBnXkFtZTcwOTU4MTM5MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Home Alone 3,PG,102,4.6,,"Action, Comedy, Crime",1997,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen, ","124,554",$30.88M,"https://m.media-amazon.com/images/M/MV5BZTJhYjVhOWMtYTUyOS00NWM0LThjNzYtZWYxOTkwN2FhODg2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
