title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src
Holiday Hotline,TV-G,,6.9,,Romance,2023,"After leaving London, Abby connects with an anonymous caller while working at a cooking hotline. The caller is single dad ""John"" who Abby unknowingly has become smitten with in real life",Mark Jean,"Emily Tennant, Niall Matter, Myla Volk, Michael Strickland, ",956,,"https://m.media-amazon.com/images/M/MV5BMzkxZTgxYzItZTIwNS00NDVlLWE0NjQtMmRlZmNlNTc0MTgwXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Wedding Planner,PG,86,4.4,,Romance,2017,"While planning her cousin's lavish wedding, Kelsey Wilson's world is turned upside down when Private Investigator Connor McClean shows up. Connor, hired by a unnamed source, disrupts the upcoming nuptials but manages to win Kelsey's heart.",Justin G. Dyck,"Jocelyn Hudon, Stephen Huszar, Kelly Rutherford, Rebecca Dalton, ","6,787",,"https://m.media-amazon.com/images/M/MV5BN2NmYzdjMTgtYWE0Mi00YjRkLTgxZTEtNzUzNzgyZjI0Y2UxXkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UY209_CR4,0,140,209_AL_.jpg"
A Timeless Christmas,TV-G,84,7,,"Comedy, Fantasy, Romance",2020,Charles Whitley travels from 1903 to 2020 where he meets Megan Turner and experiences a 21st Century Christmas.,Ron Oliver,"Erin Cahill, Ryan Paevey, Brandi Alexander, Zahf Paroo, ","3,292",,"https://m.media-amazon.com/images/M/MV5BMjM1NTBlY2MtODU0Yy00Y2Y2LTg0MzEtNzJkNWYyYTFlOWNjXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Tokyo Godfathers,PG-13,92,7.8,74,"Animation, Adventure, Comedy",2003,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Satoshi Kon,"Tôru Emori, Yoshiaki Umegaki, Aya Okamoto, Shôzô Îzuka, ","45,091",$0.13M,"https://m.media-amazon.com/images/M/MV5BMTkyNmU2ZjUtNzIwMy00MWRlLWE4ZWQtYzJhYjU0MmUxZjhiXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UY209_CR0,0,140,209_AL_.jpg"
A Season for Family,TV-G,90,7,,Romance,2023,"Maddy's adopted son Wesley has just one Christmas wish - to meet his brother Cody, who was adopted into a different family. Cody's father Paul is a widower who is not ready to have this conversation with his son.",Kevin Fair,"Brendan Penny, Stacey Farber, Benjamin Jacobson, Azriel Dalman, ",620,,"https://m.media-amazon.com/images/M/MV5BYjYwOThhYzAtNzI1YS00NTkxLTg3YzItY2I0MGNmMzc0ZDcxXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
A Princess for Christmas,TV-G,91,6.3,,"Comedy, Drama, Family",2011,"At the invitation of an estranged relative, a young woman travels with her niece and nephew to a castle in Europe for Christmas, where she unwittingly falls for a dashing Prince.",Michael Damian,"Katie McGrath, Roger Moore, Sam Heughan, Travis Turner, ","9,035",,"https://m.media-amazon.com/images/M/MV5BMTg2NzA3MDY5MF5BMl5BanBnXkFtZTcwOTkyODY5Ng@@._V1_UY209_CR0,0,140,209_AL_.jpg"
One Magic Christmas,G,89,6.4,,"Family, Fantasy",1985,"An angel must show a mother the true meaning of Christmas. It's not just presents and materialistic things, but the people she cares about.",Phillip Borsos,"Mary Steenburgen, Gary Basaraba, Harry Dean Stanton, Arthur Hill, ","4,320",$13.68M,"https://m.media-amazon.com/images/M/MV5BOGE0NWRkNTUtMTliMi00OGY4LWFhODUtYzUzZTVmYWRkZmYzXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Almost Christmas,PG-13,111,6.1,55,"Comedy, Drama, Romance",2016,A dysfunctional family gathers together for their first Christmas since their mom died.,David E. Talbert,"Kimberly Elise, Omar Epps, Danny Glover, Mo'Nique, ","7,664",$41.72M,"https://m.media-amazon.com/images/M/MV5BMjM1MTkwNTQ1Ml5BMl5BanBnXkFtZTgwNTc5ODgxOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Inheritance,TV-PG,104,5.7,,"Comedy, Drama, Romance",2017,"To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?",Ernie Barbarash,"Eliza Taylor, Jake Lacy, Andie MacDowell, Neil Crone, ","13,126",,"https://m.media-amazon.com/images/M/MV5BMjM2ODVjNjItMTRhNi00ZGU0LTkyM2UtNTJlMmE3NzBkMjE3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR4,0,140,209_AL_.jpg"
Noel,PG,96,6.1,29,Drama,2004,"Five New Yorkers come together on Christmas Eve, seeking a miracle.",Chazz Palminteri,"Susan Sarandon, Penélope Cruz, Paul Walker, Alan Arkin, ","10,473",,"https://m.media-amazon.com/images/M/MV5BOTAxMzY1MDUzNl5BMl5BanBnXkFtZTcwNzk4NTcyMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
The Snowman,G,26,8.2,,"Animation, Adventure, Family",1982,"On Christmas Eve, a young boy builds a snowman that comes to life and takes him to the North Pole to meet Father Christmas.",Jimmy T. Murakami,"Dianne Jackson, David Bowie, Raymond Briggs, Mel Smith, ","16,254",,"https://m.media-amazon.com/images/M/MV5BMWM2MWMyYzYtNGJlMC00Mzk0LTk3NjEtYzY5OWQzOTY3ZmZhXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR6,0,140,209_AL_.jpg"
Mickey's Christmas Carol,G,26,8,,"Animation, Short, Comedy",1983,The classic Disney animated characters play the roles in this animated retelling of the Charles Dickens masterpiece.,Burny Mattinson,"Alan Young, Wayne Allwine, Hal Smith, Will Ryan, ","14,813",$21.00M,"https://m.media-amazon.com/images/M/MV5BOTM5MjI3NjUtY2Y4NC00ZTEzLTgyMmEtMzNkMjAzMmQ4NzhmXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Get Santa,PG,102,6.3,52,"Comedy, Family",2014,"After Santa Claus is arrested and jailed, a recently paroled prisoner and his young son attempt to save Christmas before it's too late.",Christopher Smith,"Jim Broadbent, Rafe Spall, Kit Connor, Ewen Bremner, ","4,547",,"https://m.media-amazon.com/images/M/MV5BNTU0OTk3MDg1Ml5BMl5BanBnXkFtZTgwNjk0MjkxMzE@._V1_UY209_CR0,0,140,209_AL_.jpg"
Babes in Toyland,G,140,5.2,,"Adventure, Family, Fantasy",1986,"A young girl wakes up in the realm of Toyland, where she teams up with her family and friends to overthrow the evil villain, Barnaby.",Clive Donner,"Drew Barrymore, Richard Mulligan, Eileen Brennan, Keanu Reeves, ","3,886",,"https://m.media-amazon.com/images/M/MV5BMTk1MjU2NjIzMl5BMl5BanBnXkFtZTgwNjg2MTgxNDM@._V1_UY209_CR0,0,140,209_AL_.jpg"
A Heidelberg Holiday,TV-G,88,6.8,,"Comedy, Drama, Family",2023,Heidi heads to the Heidelberg Christmas market to sell her hand-painted ornaments. While there she falls for a local artisan who helps her reconnect with her lost heritage.,Maclain Nelson,"Ginna Claire Mason, Frédéric Brossier, Nick Wilder, Rebecca Immanuel, ",740,,"https://m.media-amazon.com/images/M/MV5BMmJiNDQ2YjItOTZjMS00NjdhLWI4MzctNjFiYTUzNDc5ZTVkXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
The Search for Santa Paws,G,96,5.3,,"Adventure, Drama, Family",2010,Magic dogs and an elf team up with two children to rescue Santa who has lost his memory.,Robert Vince,"Kaitlyn Maher, Madison Pettis, Richard Riehle, Danny Woodburn, ","3,175",,"https://m.media-amazon.com/images/M/MV5BOTI1ODAxMjg3NF5BMl5BanBnXkFtZTcwNDg1NzI5Mw@@._V1_UY209_CR5,0,140,209_AL_.jpg"
Crown for Christmas,TV-G,86,6.9,,"Comedy, Drama, Family",2015,"After getting fired from her job as a maid at a ritzy New York City hotel, Allie reluctantly accepts a temporary gig as the governess to a young girl who is part of a powerful family in Europe that lives in a castle.",Alex Zamm,"Danica McKellar, Rupert Penry-Jones, Ellie Botterill, Pavel Douglas, ","5,499",,"https://m.media-amazon.com/images/M/MV5BNzYxZjQzMzItNmEyZC00ZDE4LTkwZWMtYjk2YzM5NDAyZmUyXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Princess Switch: Switched Again,TV-G,96,5.4,,"Comedy, Drama, Family",2020,"When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it's up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.",Mike Rohl,"John Jack, Vanessa Hudgens, Sam Palladio, Mark Fleischmann, ","13,168",,"https://m.media-amazon.com/images/M/MV5BMDYxYTEyNmUtYWY5ZS00ODc0LWJkNTItZDU4YTQ1N2VjZDg1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg"
Operation Christmas Drop,TV-PG,95,5.8,47,"Comedy, Family, Romance",2020,"Congressional aide Erica forgoes family Christmas to travel at her boss's behest. At a beach side Air Force base, she clashes with Capt. Andrew Jantz, who knows her assignment is finding reasons to defund the facility.",Martin Wood,"Kat Graham, Alexander Ludwig, Trezzo Mahoro, Bethany Brown, ","12,807",,"https://m.media-amazon.com/images/M/MV5BZjM2MTNjNzAtMjU0Yy00MTNmLWFkMDctMWZmMjA0ODE0YTVhXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY209_CR4,0,140,209_AL_.jpg"
Time for Us to Come Home for Christmas,TV-G,83,7,,Romance,2020,"Five guests are mysteriously invited to an inn to celebrate Christmas. With the help of the owner Ben, Sarah discovers that an event from the past may connect them and change their lives forever.",David Winning,"Lacey Chabert, Stephen Huszar, Lini Evans, Leon, ","1,671",,"https://m.media-amazon.com/images/M/MV5BM2VkMjYzNmEtM2ViYi00OTg1LThmNzItNzY2YmZhNWM2OTBiXkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Christmas Story 2,PG,85,3.5,,"Comedy, Family",2012,"Six years later, Ralphie has his eyes fixed on a car. But trouble is sure to follow.",Brian Levant,"Daniel Stern, Braeden Lemasters, Stacey Travis, Valin Shinyei, ","2,888",,"https://m.media-amazon.com/images/M/MV5BMTY1MzAxMTMzOF5BMl5BanBnXkFtZTcwNDg0OTg1OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Tree Lane,TV-G,84,6.4,,"Comedy, Drama, Music",2020,Meg wants to save her neighborhood from getting demolished. She then discovers that Nate has other plans. Can she turn Nate's heart toward Christmas?,Steven R. Monroe,"Alicia Witt, Andrew W. Walker, Drake Hogestyn, Briana Price, ","1,385",,"https://m.media-amazon.com/images/M/MV5BZTVmZjFlNDQtOTA4ZS00ODNhLWIxZWYtNDI1MTk3N2RkNTAzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Mystery on Mistletoe Lane,TV-G,90,7.1,,Mystery,2023,"New to town, Heidi Wicks (Erica Cerra) and her kids Annie and Garrett (Juliette Hawk and Logan Pierce) discover a Christmas mystery in their historic home. Local handyman and historian ...                See full summary »",Allan Harmon,"Victor Webster, Erica Cerra, Fred Henderson, Mary-Beth Manning, ",895,,"https://m.media-amazon.com/images/M/MV5BMmU3MGMzN2EtZTFiMS00Y2U2LTgwZmYtMjFlYzM5ZTIzMGFiXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
Take Me Back for Christmas,TV-G,84,7.1,,"Comedy, Fantasy, Romance",2023,"After a particularly disheartening work day at her local gift shop, Renée makes a Christmas wish for a different life.",Corey Sevier,"Vanessa Lengies, Corey Sevier, Paula Boudreau, Kimberly-Ann Truong, ",967,,"https://m.media-amazon.com/images/M/MV5BZjk0NzhhOGEtY2E0Ni00ZDNkLWJhNDItNzZhZjViNWRkYzAzXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
Paris Christmas Waltz,TV-G,,7.2,,"Drama, Romance",2023,"Follows Emma as she encounters professional dancer Leo, whose enthusiasm for competitive dancing is diminishing. However, a once-in-a-lifetime opportunity presents itself for the novice to join the pro and astound Paris.",Michael Damian,"Jen Lilley, Matthew Morrison, Paul Freeman, Jade Ewen, ",400,,"https://m.media-amazon.com/images/M/MV5BZjY1NTllOWMtMDg2MC00OTJjLTk3OGItNjcwM2NiNzMxYjY4XkEyXkFqcGdeQXVyMTg5OTc1NQ@@._V1_UY209_CR8,0,140,209_AL_.jpg"
Never Kiss a Man in a Christmas Sweater,TV-G,84,6.7,,"Comedy, Romance",2020,Maggie is facing Christmas alone until Lucas become an unexpected house guest.,Allan Harmon,"Ashley Williams, Niall Matter, Lisa MacFadden, Brendon Zub, ","2,129",,"https://m.media-amazon.com/images/M/MV5BZWJkZjQ5YjgtNmM3Yi00OTEwLTk3NGQtNGZhYWYyN2U4MzZjXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Rudolph the Red-Nosed Reindeer: The Movie,G,83,5.8,,"Animation, Adventure, Family",1998,It's up to Santa's most famous reindeer to save the day when an evil queen conjures up a storm on Christmas.,William R. Kowalchuk Jr.,"John Goodman, Bob Newhart, Debbie Reynolds, Eric Pospisil, ","3,082",$0.11M,"https://m.media-amazon.com/images/M/MV5BZjQyMmQ0OTQtZTBjZC00OTNjLWFiNGEtOTQxNWIyOGVhMGVlXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Cozy Christmas Inn,TV-G,84,6,,"Comedy, Romance",2022,Real-estate exec Erika travels to Alaska during the holidays to acquire a bed-and-breakfast and discover that it's owned by her ex. Soon she falls in love with the town...and maybe with him again?,Peter Sullivan,"Jodie Sweetin, David O'Donnell, Vivica A. Fox, Brian Doyle-Murray, ","1,004",,"https://m.media-amazon.com/images/M/MV5BNGUxMjMxN2EtNDU1ZC00NmRhLWEyNWMtNDM3ZTlhOTc0YzU4XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR8,0,140,209_AL_.jpg"
One Royal Holiday,TV-G,87,7,,"Drama, Romance",2020,"When Anna offers a stranded mother and son shelter in a blizzard, she learns that they are the Royal Family of Galwick. Anna shows the Prince how they do Christmas in her hometown, encouraging him to open his heart and be true to himself.",Dustin Rikert,"Laura Osnes, Krystal Joy Brown, Tom McGowan, Bradley Rose, ","2,420",,"https://m.media-amazon.com/images/M/MV5BN2YyZTFjMWMtMGZkMS00MGQ5LWE2ZTktNGIxMWMxN2Y3MjZjXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Princess Switch 3,TV-PG,106,5.5,,"Comedy, Drama, Family",2021,"When a priceless relic is stolen, Queen Margaret and Princess Stacy enlist the help of Margaret's cousin Fiona teams with a man from her past to retrieve it, with romance and resulting in a very unexpected switch.",Mike Rohl,"Vanessa Hudgens, Remy Hii, Sam Palladio, Nick Sagar, ","7,318",,"https://m.media-amazon.com/images/M/MV5BNTRhYzQ1MTEtYjRhZS00NmJkLWE5NzMtNWQ2YzlmMzlmNDI5XkEyXkFqcGdeQXVyNjEwMDM4NTQ@._V1_UY209_CR0,0,140,209_AL_.jpg"
Five Star Christmas,TV-G,84,6.9,,"Comedy, Romance",2020,"When a travel writer shows up unexpectedly at their dad's Bed and Breakfast, the Ralston family all pretend to be guests in hopes of a good review. Lucy (Bethany Joy Lenz) falls for guest Jake (Victor Webster), but can't share her secret.",Christie Will Wolf,"Bethany Joy Lenz, Victor Webster, Robert Wisden, Laura Soltis, ","2,582",,"https://m.media-amazon.com/images/M/MV5BYTUzOGFmOTUtMTJlYS00Njg0LTliY2YtMjJiYWEzZTQxNDlkXkEyXkFqcGdeQXVyOTUyNjcyNA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Most Wonderful Time of the Year,TV-PG,88,7.3,,"Comedy, Drama, Family",2008,"Corporate analyst and single mom, Jen, tackles Christmas with a business-like approach until her uncle arrives with a handsome stranger in tow.",Michael M. Scott,"Brooke Burns, Henry Winkler, Warren Christie, Connor Christopher Levins, ","4,827",,"https://m.media-amazon.com/images/M/MV5BNmNiMTYzYzEtNTMzZi00ZDdhLWJkMDItYWQ1Mzg3YTQ4OWYzXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Christmas in the Smokies,TV-G,88,5.8,,"Drama, Family, Romance",2015,Christmas in the Smokies is a modern-day Christmas classic set in the beautiful Smoky Mountains that tells the story of one family's journey to save their historic berry farm against all odds during one fateful holiday season.,Gary Wheeler,"Sarah Lancaster, Barry Corbin, Alan Powell, Jill Wagner, ","1,705",,"https://m.media-amazon.com/images/M/MV5BMTU4MTk5ODk3N15BMl5BanBnXkFtZTgwNDQ0MTg5NjE@._V1_UY209_CR0,0,140,209_AL_.jpg"
Christmas Under Wraps,TV-G,88,6.2,,"Comedy, Drama, Romance",2014,"When an aspiring surgeon is turned down for a fellowship, she takes a temporary position working as a GP in a small Alaskan town in an effort to boost her résumé.",Peter Sullivan,"Candace Cameron Bure, David O'Donnell, Robert Pine, Kendra Mylnechuk, ","6,172",,"https://m.media-amazon.com/images/M/MV5BNjcwMjkwNTE0MF5BMl5BanBnXkFtZTgwNTQ5Mjg1MzE@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Christmas House,TV-G,84,6,,"Drama, Romance",2020,"Working through some difficult decisions, a mother and father summon their two grown sons home for the holidays.",Michael Grossman,"Robert Buckley, Ana Ayora, Treat Williams, Sharon Lawrence, ","2,602",,"https://m.media-amazon.com/images/M/MV5BYTE2MGI0OTAtNWNjOS00NjE0LWJkZmQtNGVhODZhN2M3MzAwXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Letters to Santa,TV-G,84,5.9,,"Comedy, Romance",2023,"During the holidays, young siblings utilize a magical pen that grants wishes to bring their estranged parents back together.",John Stimpson,"Harry Aspinwall, Laura Cerón, Rafael de la Fuente, Lonnie Farmer, ",519,,"https://m.media-amazon.com/images/M/MV5BZTVkNDFmZTUtMTAxNS00MjBkLTgyOTAtZGFiNTIwYzRlYjI0XkEyXkFqcGdeQXVyNDI3NjA5MTY@._V1_UY209_CR0,0,140,209_AL_.jpg"
Christmas at the Chalet,TV-PG,84,6.6,,Romance,2023,"Ex-TV host Lex finds herself spending Christmas in a chalet with her son, ex-husband, and his new girlfriend. To avoid things getting too close to home, she volunteers to work at the chalet, all while documenting it for her new followers.",Lucie Guest,"Teri Hatcher, William deVry, Dan Payne, Brendan McRae, ",404,,"https://m.media-amazon.com/images/M/MV5BOGUxNTI1YTUtNWFjZC00MGUyLThjN2MtNzFhY2NiMWRkOTVmXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg"
The Holiday Calendar,TV-PG,95,5.7,,"Drama, Fantasy, Romance",2018,"A struggling but talented photographer inherits an antique holiday advent calendar, the contents of which seem to predict the future. Will this magical calendar lead her to love this holiday season?",Bradley Walsh,"Kat Graham, Quincy Brown, Ethan Peck, Ron Cephas Jones, ","11,286",,"https://m.media-amazon.com/images/M/MV5BY2ZhYWRlMWYtMDA2YS00ZDQ5LWFmMzctZjg2ZDAwOThmNmJjXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UY209_CR0,0,140,209_AL_.jpg"
A Blue Ridge Mountain Christmas,TV-G,84,6.2,,Family,2019,"Hotel manager Willow returns to her stunning Virginia hometown to help her sister plan a Christmas wedding at the inn her family once owned. She must work with current owner and single dad David, who wants to let go of the past.",David Winning,"Rachael Leigh Cook, Benjamin Ayres, Christie Burke, Chilton Crane, ","1,366",,"https://m.media-amazon.com/images/M/MV5BNzlhOTM0NWEtZDU2MS00NjAzLWI5YWMtZDQ2ZDAxMTIzOTk3XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Anne of Green Gables,TV-G,199,8.5,,"Drama, Family",1985,"An orphan girl, sent to an elderly brother and sister by mistake, charms her new home and community with her fiery spirit and imagination.",Megan Follows,"Colleen Dewhurst, Richard Farnsworth, Patricia Hamilton, ","22,265",,"https://m.media-amazon.com/images/M/MV5BNjBmYjU2YjQtNjc3NS00NmMzLTk3OWUtNDM0ZDEyOGQ4ZWI0XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_UY209_CR1,0,140,209_AL_.jpg"
Rent,PG-13,135,6.8,53,"Drama, Musical, Romance",2005,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.",Chris Columbus,"Taye Diggs, Wilson Jermaine Heredia, Rosario Dawson, Anthony Rapp, ","55,464",$29.08M,"https://m.media-amazon.com/images/M/MV5BOTNmZWI2NzItNmNmMC00ZGY2LWE4ZTAtNjMxZTJiZWUwMzAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg"
Christmas Made to Order,TV-G,80,5.7,,Romance,2018,"A Hallmark Channel original movie. When architect and Christmas amateur Steven (Jonathan Bennett) finds himself hosting his family for Christmas, he recruits holiday coordinator Gretchen (Alexa PenaVega) to bring holiday joy to his home.",Sam Irvin,"Alexa PenaVega, Jonathan Bennett, Jo Marie Payton, Jacob Young, ","4,906",,"https://m.media-amazon.com/images/M/MV5BOGI2MGQwMGUtOTVjOS00MTAwLTgyM2MtMzU1MjcwNTE5MTg0XkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR87,0,140,209_AL_.jpg"
The Santa Summit,TV-G,84,6.9,,Romance,2023,"At a Santa themed holiday event, three teachers get their groove back, strengthen their friendship, and unexpectedly find love along the way.",Jeff Beesley,"Hunter King, Benjamin Hollingsworth, Amy Groening, Stephanie Sy, ",997,,"https://m.media-amazon.com/images/M/MV5BOGEzMGIxYWMtNGRiNy00NmFjLTljZjMtMmYzMzA4NmQ5NWVjXkEyXkFqcGdeQXVyMTI2MDU4OTY0._V1_UY209_CR1,0,140,209_AL_.jpg"
On the 12th Date of Christmas,TV-G,84,7.2,,"Comedy, Romance",2020,"Two game creators, both vying for a promotion, must team up to create a Christmas scavenger hunt.",Gary Yates,"Mallory Jansen, Tyler Hynes, Cherissa Richards, Clare Filipow, ","2,367",,"https://m.media-amazon.com/images/M/MV5BN2U2ZjJjNzgtNDk0NS00YTgwLThhM2QtNTVlMzE1OTcxYjFkXkEyXkFqcGdeQXVyNjMwMjI2OTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Next Door,TV-G,86,6.5,,"Family, Romance",2017,"A famous MGTOW author is forced to look after his niece and nephew over the holidays and, with the help of his Christmas-loving neighbor, he learns to find love and the Christmas spirit.",Jonathan Wright,"Jesse Metcalfe, Fiona Gubelmann, Brittany Bristow, Jenna Weir, ","2,779",,"https://m.media-amazon.com/images/M/MV5BNGFkMGZmNjgtYTlkMS00ZDM0LWEwOGYtZDY1YmUyNGI2ODRhXkEyXkFqcGdeQXVyNDQ2NDMwNjk@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Royal Winter,TV-G,84,6.4,,"Drama, Family, Romance",2017,"While on a last-minute European holiday, a young woman finds herself in the middle of a real-life fairy tale when a chance meeting with a handsome local leads to something more.",Ernie Barbarash,"Merritt Patterson, Jack Donnelly, Samantha Bond, Rhea Bailey, ","3,578",,"https://m.media-amazon.com/images/M/MV5BMDk0MDJiYTgtNjQyNy00MzRkLWEyNTUtYTA0OGVmNGU2ZWI1L2ltYWdlXkEyXkFqcGdeQXVyMzI4MzkxNTY@._V1_UX140_CR0,0,140,209_AL_.jpg"
Long Lost Christmas,TV-G,84,6.8,,"Comedy, Drama, Family",2022,Interior designer Hailey sets out to surprise her mother Patricia with an unexpected gift related to the extended family for which she has long yearned.,Michael Robison,"Benjamin Ayres, Taylor Cole, Liza Huget, Stefania Indelicato, ",972,,"https://m.media-amazon.com/images/M/MV5BZmJmZjRjMzEtMjk1MC00YTk5LTlhMTktOTg0NmFjZWMxN2M1XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
A Christmas Cookie Catastrophe,TV-G,84,6.3,,"Comedy, Romance",2022,Annie Cooper has big shoes to fill when she takes over as CEO of her late grandmother's small-town cookie company and is doing her best to help their struggling business get back on track. ...                See full summary »,Jeff Beesley,"Rachel Boston, Victor Webster, Averie Peters, Stephanie Sy, ",959,,"https://m.media-amazon.com/images/M/MV5BNTU5MzcyNDgtMTg2MC00YzBhLTg4ZGQtNTViZjZmNzE2NGZlXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas at Castle Hart,TV-G,84,6.2,,"Comedy, Romance",2021,"Brooke Bennett goes to Ireland for Christmas to search for her Irish roots. While there, she meets Aiden Hart. Mistaken for an elite event planner, she's hired to host his castle's epic Christmas party.",Stefan Scaini,"Lacey Chabert, Stuart Townsend, Ali Hardiman, Kate O'Toole, ","1,959",,"https://m.media-amazon.com/images/M/MV5BODMzNmE0ZTItODRmNi00NjYwLTllNzMtYmIzM2JmOTk5M2I0XkEyXkFqcGdeQXVyODcyMTQ4MTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas on the Square,TV-PG,98,5.2,51,"Comedy, Family, Musical",2020,"An embittered scrooge of a woman plans to sell her small town, regardless of the consequences to the people who live there. However, a kindhearted angel arrives and shows her what would happen before she mends her ways and redeems herself.",Debbie Allen,"Dolly Parton, Jenifer Lewis, Josh Segarra, Jeanine Mason, ","3,031",,"https://m.media-amazon.com/images/M/MV5BYTkxZDY2NjMtMDE2MC00ZDVjLWI4ZGYtYWIxYzM0OGIwMDRkXkEyXkFqcGdeQXVyMTI0Njk2Nzk0._V1_UY209_CR2,0,140,209_AL_.jpg"
Beauty and the Beast: The Enchanted Christmas,G,72,5.9,,"Animation, Family, Fantasy",1997,"Astonished to find the Beast has a deep-seated hatred for the Christmas season, Belle endeavors to change his mind on the matter.",Andrew Knight,"Paige O'Hara, Robby Benson, Jerry Orbach, David Ogden Stiers, ","11,799",,"https://m.media-amazon.com/images/M/MV5BZTdlZWYzNTctNWNhMC00YzBlLTk4MjktMTU1OTYwZWQ4NWQyXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Everything Christmas,TV-G,85,6,,Romance,2023,"Christmas enthusiast, Lori-Jo embarks on an epic 3 day road trip with her workaholic best friend, Victoria to the town where it's Christmas all year round. They run into handsome, like-minded strangers Zach and Jason.",Marni Banack,"Cindy Busby, Katherine Barrell, Corey Sevier, Matt Wells, ",702,,"https://m.media-amazon.com/images/M/MV5BNzIyNGUxNjQtMGRhNi00NzY3LTg3ZTgtYmFiYmZlYWFiZjBhXkEyXkFqcGdeQXVyMTgyODAyNQ@@._V1_UY209_CR8,0,140,209_AL_.jpg"
